detid,length,pos,fclass,road,limit,citycode,lanes,linkid,long,lat
5230-E,0.234766832945069,0.073396380480795,secondary,West Adams Boulevard,56,losanageles,2,1638,-118.303722,34.0327
2001-E,0.101692091031137,0.067389898769512,primary,North Main Street,57.6842105263158,losanageles,3,711,-118.237569,34.058571
2224-S,0.230655596308993,0.113091750086617,primary,Central Avenue,55.6732223903177,losanageles,3,1395,-118.23972,34.044993
5001-E,0.097240128400201,0.076078043373137,primary,West Olympic Boulevard,55.6732223903177,losanageles,2,1598,-118.294569,34.052613
1127-E,0.256167633896026,0.067951319575152,primary,East Washington Boulevard,57.6842105263158,losanageles,3,1444,-118.248754,34.023421
1135-S,0.578435346791543,0.127717118051767,primary,Alameda Street,55.6732223903177,losanageles,4,1808,-118.239645,34.009175
1215-N,0.186288591251189,0.058913134307184,secondary,Vermont Avenue,56.1711229946524,losanageles,2,1686,-118.291516,34.004904
13005-S,0.168123575846947,0.058858360405631,tertiary,South Union Avenue,48.551724137931,losanageles,2,929,-118.27182,34.052964
7372-W,0.097778466203688,0.073952655978366,primary,Wilshire Boulevard,55.6732223903177,losanageles,2,1559,-118.291907,34.061859
13037-S,0.157998405574654,0.073136884234677,secondary,Alvarado Street,56.1711229946524,losanageles,2,900,-118.280426,34.050951
13112-S,0.314661610463323,0.07065451757579,secondary,South Grand Avenue,56.1711229946524,losanageles,2,1214,-118.271877,34.027194
13260-S,0.197341035726618,0.079109473269805,primary,Central Avenue,55.6732223903177,losanageles,2,1759,-118.256585,34.002777
1030-E,0.071321333418511,0.043630836574439,primary,W Washington Boulevard,57.6842105263158,losanageles,3,1109,-118.268131,34.032559
1005-N,0.188405485218469,0.073943026659913,primary,Figueroa Street,55.6732223903177,losanageles,4,1024,-118.279368,34.022821
1010-N,0.155347088128314,0.081248346417824,secondary,Hoover Street,56.1711229946524,losanageles,2,1253,-118.283926,34.028106
1020-E,0.073852780337798,0.062087177734354,primary,West 18th Street,57.6842105263158,losanageles,2,1137,-118.2664,34.03363
1028-N,0.230370394175554,0.053231823129142,secondary,South Grand Avenue,56.1711229946524,losanageles,1,1205,-118.269563,34.030685
5174-N,0.171272490793954,0.064858380467886,secondary,Normandie Avenue,56.1711229946524,losanageles,2,1618,-118.300217,34.044821
5230-W,0.209447014673777,0.071868060077443,secondary,West Adams Boulevard,56,losanageles,2,1634,-118.301887,34.032778
2001-N,0.087596465507798,0.065801014374855,primary,North Alameda Street,56,losanageles,3,710,-118.237004,34.058301
2091-E,0.105005273436483,0.080330051935754,primary,West 7th Street,55.6732223903177,losanageles,2,55,-118.255326,34.046403
