DETEKTOR_ID_X, DETEKTOR_ID_Y, DISTANCE
Arnulf,Arnulf,0.0
Arnulf,Kreuther,6360.067999999998
Arnulf,Olympia,3548.8400000000006
Arnulf,Hirsch,3364.7529999999997
Arnulf,Margareten,3658.5860000000002
Arnulf,Erhardt,2916.509
Kreuther,Arnulf,6403.099000000001
Kreuther,Kreuther,0.0
Kreuther,Olympia,9011.475000000002
Kreuther,Hirsch,9707.515000000003
Kreuther,Margareten,8099.6449999999995
Kreuther,Erhardt,3523.4769999999994
Olympia,Arnulf,3542.883
Olympia,Kreuther,9088.311999999993
Olympia,Olympia,0.0
Olympia,Hirsch,4825.775000000002
Olympia,Margareten,7074.653000000002
Olympia,Erhardt,5913.148000000002
Hirsch,Arnulf,3302.0229999999992
Hirsch,Kreuther,9655.762999999995
Hirsch,Olympia,4833.914000000002
Hirsch,Hirsch,0.0
Hirsch,Margareten,4234.665
Hirsch,Erhardt,6212.2040000000015
Margareten,Arnulf,3646.659999999999
Margareten,Kreuther,8178.820999999996
Margareten,Olympia,6458.455999999998
Margareten,Hirsch,4202.3730000000005
Margareten,Margareten,0.0
Margareten,Erhardt,4780.81
Erhardt,Arnulf,2913.113999999999
Erhardt,Kreuther,3536.422
Erhardt,Olympia,5837.165999999999
Erhardt,Hirsch,6217.530000000001
Erhardt,Margareten,4748.426999999998
Erhardt,Erhardt,0.0
